"Issue Type","Summary","Description","Priority","Epic Name","Epic Link","Story Points","Labels","Labels","Labels","Labels","Labels"
"Epic","EP1 Project Setup & Planning","Scope freeze, repository, toolchain and proposal for the FYP.","Highest","EP1 Project Setup & Planning","","","fyp","planning","","",""
"Epic","EP2 Architecture & System Design","All Week-2 design deliverables: architecture, database, API contract, wireframes, ML design.","Highest","EP2 Architecture & System Design","","","fyp","design","","",""
"Epic","EP3 Data Strategy & Dataset Pipeline","Public dataset selection, exploration, seeding scripts and synthetic data generation.","Highest","EP3 Data Strategy & Dataset Pipeline","","","fyp","data","","",""
"Epic","EP4 Backend Core (NestJS)","NestJS API gateway: auth, catalog, cart, orders, event tracking, cross-cutting concerns.","Highest","EP4 Backend Core (NestJS)","","","fyp","backend","","",""
"Epic","EP5 ML Service Foundation (FastAPI)","Python FastAPI microservice skeleton, model registry, internal contract and security.","High","EP5 ML Service Foundation (FastAPI)","","","fyp","ml","","",""
"Epic","EP6 M1 Recommendation Engine","Popularity baseline through to hybrid recommender with cold-start handling and caching.","Highest","EP6 M1 Recommendation Engine","","","fyp","ml","M1","",""
"Epic","EP7 M2 Demand Forecasting Engine","Sales aggregation, baselines, classical time series and LightGBM 30-day forecasting.","Highest","EP7 M2 Demand Forecasting Engine","","","fyp","ml","M2","",""
"Epic","EP8 M3 Customer Behavior Analytics","Interest profiles, segmentation and funnel analytics from the event stream.","Medium","EP8 M3 Customer Behavior Analytics","","","fyp","analytics","M3","",""
"Epic","EP9 Frontend Customer App (React)","Customer-facing React SPA: catalog, cart, orders, recommendation UI and event tracking.","High","EP9 Frontend Customer App (React)","","","fyp","frontend","","",""
"Epic","EP10 Admin Dashboard","Admin console: KPIs, catalog and order management, analytics, forecast and alerts.","High","EP10 Admin Dashboard","","","fyp","frontend","admin","",""
"Epic","EP11 M4 Generative AI Shopping Assistant","Optional extension module: natural-language shopping assistant with catalog guardrails.","Low","EP11 M4 Generative AI Shopping Assistant","","","fyp","ml","M4","optional",""
"Epic","EP12 Evaluation & Testing","Offline ML evaluation, unit/integration/API tests, performance and usability testing.","Highest","EP12 Evaluation & Testing","","","fyp","evaluation","","",""
